Time	Ref	Planta	Derivada1
0.000000	0.000000	0.000000	0.000000
0.004000	0.004000	0.000200	0.000000
0.008000	0.008000	0.000590	0.000628
0.012000	0.012000	0.001160	0.001528
0.016000	0.015999	0.001902	0.002643
0.020000	0.019999	0.002807	0.003943
0.024000	0.023998	0.003867	0.005410
0.028000	0.027996	0.005073	0.007032
0.032000	0.031995	0.006419	0.008798
0.036000	0.035992	0.007898	0.010703
0.040000	0.039989	0.009503	0.012740
0.044000	0.043986	0.011227	0.014905
0.048000	0.047982	0.013064	0.017193
0.052000	0.051977	0.015010	0.019602
0.056000	0.055971	0.017058	0.022129
0.060000	0.059964	0.019203	0.024771
0.064000	0.063956	0.021441	0.027526
0.068000	0.067948	0.023766	0.030394
0.072000	0.071938	0.026175	0.033371
0.076000	0.075927	0.028663	0.036458
0.080000	0.079915	0.031225	0.039652
0.084000	0.083901	0.033859	0.042953
0.088000	0.087886	0.036560	0.046360
0.092000	0.091870	0.039326	0.049872
0.096000	0.095853	0.042152	0.053489
0.100000	0.099833	0.045036	0.057209
0.104000	0.103813	0.047975	0.061033
0.108000	0.107790	0.050966	0.064960
0.112000	0.111766	0.054006	0.068989
0.116000	0.115740	0.057093	0.073121
0.120000	0.119712	0.060223	0.077355
0.124000	0.123682	0.063396	0.081690
0.128000	0.127651	0.066609	0.086127
0.132000	0.131617	0.069860	0.090665
0.136000	0.135581	0.073146	0.095305
0.140000	0.139543	0.076466	0.100045
0.144000	0.143503	0.079817	0.104887
0.148000	0.147460	0.083200	0.109830
0.152000	0.151415	0.086610	0.114874
0.156000	0.155368	0.090048	0.120020
0.160000	0.159318	0.093512	0.125266
0.164000	0.163266	0.096999	0.130613
0.168000	0.167211	0.100510	0.136062
0.172000	0.171153	0.104042	0.141612
0.176000	0.175093	0.107595	0.147264
0.180000	0.179030	0.111166	0.153017
0.184000	0.182964	0.114756	0.158872
0.188000	0.186895	0.118363	0.164829
0.192000	0.190823	0.121986	0.170888
0.196000	0.194747	0.125624	0.177049
0.200000	0.198669	0.129276	0.183312
0.204000	0.202588	0.132942	0.189677
0.208000	0.206503	0.136620	0.196146
0.212000	0.210416	0.140310	0.202717
0.216000	0.214324	0.144011	0.209391
0.220000	0.218230	0.147722	0.216169
0.224000	0.222131	0.151442	0.223050
0.228000	0.226030	0.155171	0.230034
0.232000	0.229924	0.158909	0.237123
0.236000	0.233815	0.162654	0.244315
0.240000	0.237703	0.166407	0.251612
0.244000	0.241586	0.170166	0.259014
0.248000	0.245466	0.173931	0.266520
0.252000	0.249341	0.177701	0.274132
0.256000	0.253213	0.181477	0.281848
0.260000	0.257081	0.185257	0.289671
0.264000	0.260944	0.189041	0.297599
0.268000	0.264803	0.192830	0.305632
0.272000	0.268658	0.196621	0.313773
0.276000	0.272509	0.200415	0.322019
0.280000	0.276356	0.204212	0.330373
0.284000	0.280198	0.208012	0.338833
0.288000	0.284035	0.211813	0.347400
0.292000	0.287868	0.215616	0.356075
0.296000	0.291697	0.219420	0.364858
0.300000	0.295520	0.223225	0.373748
0.304000	0.299339	0.227030	0.382747
