Time	Ref_Input	Salida_Planta	HOSM_z0	HOSM_z1	HOSM_z2	HOSM_z3
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00400	0.00400	0.00011	0.00000	0.00000	0.00000	0.00000
0.00800	0.00800	0.00033	0.00001	0.00011	0.00178	0.04666
0.01200	0.01200	0.00065	0.00002	0.00029	0.00430	0.09331
0.01600	0.01600	0.00106	0.00005	0.00056	0.00741	0.13997
0.02000	0.02000	0.00156	0.00008	0.00090	0.01107	0.18662
0.02400	0.02400	0.00214	0.00013	0.00133	0.01521	0.23328
0.02800	0.02800	0.00280	0.00019	0.00184	0.01982	0.27994
0.03200	0.03199	0.00354	0.00027	0.00243	0.02486	0.32659
0.03600	0.03599	0.00434	0.00036	0.00310	0.03031	0.37325
0.04000	0.03999	0.00520	0.00047	0.00385	0.03616	0.41990
0.04400	0.04399	0.00612	0.00060	0.00468	0.04238	0.46656
0.04800	0.04798	0.00710	0.00074	0.00559	0.04898	0.51322
0.05200	0.05198	0.00812	0.00090	0.00658	0.05593	0.55987
0.05600	0.05597	0.00919	0.00107	0.00765	0.06322	0.60653
0.06000	0.05996	0.01031	0.00127	0.00881	0.07086	0.65318
0.06400	0.06396	0.01145	0.00148	0.01004	0.07882	0.69984
0.06800	0.06795	0.01264	0.00171	0.01135	0.08710	0.74650
0.07200	0.07194	0.01385	0.00196	0.01274	0.09569	0.79315
0.07600	0.07593	0.01509	0.00223	0.01421	0.10459	0.83981
0.08000	0.07991	0.01635	0.00252	0.01577	0.11379	0.88646
0.08400	0.08390	0.01763	0.00282	0.01740	0.12328	0.93312
0.08800	0.08789	0.01893	0.00315	0.01910	0.13307	0.97978
0.09200	0.09187	0.02024	0.00349	0.02089	0.14313	1.02643
0.09600	0.09585	0.02156	0.00386	0.02276	0.15348	1.07309
0.10000	0.09983	0.02289	0.00424	0.02470	0.16409	1.11974
0.10400	0.10381	0.02423	0.00465	0.02672	0.17498	1.16640
0.10800	0.10779	0.02557	0.00507	0.02882	0.18614	1.21306
0.11200	0.11177	0.02691	0.00551	0.03100	0.19755	1.25971
0.11600	0.11574	0.02824	0.00598	0.03325	0.20922	1.30637
0.12000	0.11971	0.02957	0.00646	0.03558	0.22115	1.35302
0.12400	0.12368	0.03090	0.00696	0.03798	0.23332	1.39968
0.12800	0.12765	0.03222	0.00748	0.04046	0.24574	1.44634
0.13200	0.13162	0.03352	0.00802	0.04302	0.25840	1.49299
0.13600	0.13558	0.03481	0.00858	0.04565	0.27131	1.53965
0.14000	0.13954	0.03609	0.00916	0.04836	0.28444	1.58630
0.14400	0.14350	0.03735	0.00975	0.05113	0.29782	1.63296
0.14800	0.14746	0.03859	0.01037	0.05399	0.31142	1.67962
0.15200	0.15142	0.03982	0.01100	0.05692	0.32524	1.72627
0.15600	0.15537	0.04102	0.01165	0.05992	0.33929	1.77293
0.16000	0.15932	0.04220	0.01232	0.06299	0.35356	1.81958
0.16400	0.16327	0.04335	0.01301	0.06613	0.36805	1.86624
0.16800	0.16721	0.04448	0.01371	0.06935	0.38276	1.91290
0.17200	0.17115	0.04558	0.01444	0.07264	0.39767	1.95955
0.17600	0.17509	0.04666	0.01518	0.07600	0.41280	2.00621
0.18000	0.17903	0.04770	0.01593	0.07942	0.42813	2.05286
0.18400	0.18296	0.04872	0.01671	0.08292	0.44366	2.09952
0.18800	0.18689	0.04970	0.01750	0.08649	0.45939	2.14618
0.19200	0.19082	0.05065	0.01831	0.09013	0.47532	2.19283
0.19600	0.19475	0.05157	0.01913	0.09383	0.49145	2.23949
0.20000	0.19867	0.05245	0.01997	0.09760	0.50777	2.28614
0.20400	0.20259	0.05330	0.02083	0.10144	0.52427	2.33280
0.20800	0.20650	0.05412	0.02170	0.10535	0.54097	2.37946
0.21200	0.21042	0.05489	0.02258	0.10932	0.55784	2.42611
0.21600	0.21432	0.05563	0.02348	0.11335	0.57490	2.47277
0.22000	0.21823	0.05634	0.02440	0.11745	0.59214	2.51942
0.22400	0.22213	0.05700	0.02533	0.12162	0.60955	2.56608
0.22800	0.22603	0.05763	0.02627	0.12584	0.62713	2.61274
0.23200	0.22992	0.05822	0.02723	0.13013	0.64488	2.65939
0.23600	0.23382	0.05876	0.02820	0.13448	0.66279	2.70605
0.24000	0.23770	0.05927	0.02918	0.13889	0.68086	2.75270
0.24400	0.24159	0.05974	0.03018	0.14335	0.69910	2.79936
0.24800	0.24547	0.06017	0.03119	0.14788	0.71749	2.84602
0.25200	0.24934	0.06055	0.03221	0.15246	0.73603	2.89267
0.25600	0.25321	0.06090	0.03324	0.15710	0.75471	2.93933
0.26000	0.25708	0.06120	0.03428	0.16179	0.77354	2.98598
0.26400	0.26094	0.06146	0.03534	0.16654	0.79251	3.03264
0.26800	0.26480	0.06169	0.03640	0.17134	0.81161	3.07930
0.27200	0.26866	0.06187	0.03747	0.17619	0.83085	3.12595
0.27600	0.27251	0.06200	0.03856	0.18109	0.85020	3.17261
0.28000	0.27636	0.06210	0.03965	0.18603	0.86968	3.21926
0.28400	0.28020	0.06215	0.04075	0.19103	0.88927	3.26592
0.28800	0.28404	0.06216	0.04186	0.19606	0.90897	3.31258
0.29200	0.28787	0.06214	0.04297	0.20114	0.92877	3.35923
0.29600	0.29170	0.06206	0.04410	0.20626	0.94866	3.40589
0.30000	0.29552	0.06195	0.04522	0.21141	0.96863	3.45254
0.30400	0.29934	0.06180	0.04636	0.21659	0.98868	3.49920
0.30800	0.30315	0.06160	0.04750	0.22181	1.00878	3.54586
0.31200	0.30696	0.06136	0.04864	0.22705	1.02894	3.59251
0.31600	0.31077	0.06108	0.04978	0.23232	1.04914	3.63917
0.32000	0.31457	0.06076	0.05093	0.23760	1.06935	3.68582
0.32400	0.31836	0.06040	0.05208	0.24289	1.08955	3.73248
0.32800	0.32215	0.06000	0.05322	0.24818	1.10972	3.77914
0.33200	0.32593	0.05956	0.05437	0.25347	1.12982	3.82579
0.33600	0.32971	0.05908	0.05551	0.25874	1.14977	3.87245
0.34000	0.33349	0.05856	0.05664	0.26396	1.16950	3.91910
0.34400	0.33726	0.05799	0.05776	0.26910	1.18881	3.96576
0.34800	0.34102	0.05739	0.05886	0.27404	1.20682	4.01242
0.35200	0.34478	0.05675	0.05992	0.27852	1.21948	3.96576
0.35600	0.34853	0.05608	0.06096	0.28287	1.23123	3.91910
0.36000	0.35227	0.05536	0.06199	0.28714	1.24232	3.87245
0.36400	0.35601	0.05461	0.06301	0.29133	1.25286	3.82579
0.36800	0.35975	0.05381	0.06402	0.29546	1.26291	3.77914
0.37200	0.36348	0.05299	0.06502	0.29954	1.27252	3.73248
0.37600	0.36720	0.05212	0.06601	0.30357	1.28170	3.68582
0.38000	0.37092	0.05122	0.06699	0.30756	1.29049	3.63917
0.38400	0.37463	0.05028	0.06796	0.31150	1.29890	3.59251
0.38800	0.37834	0.04931	0.06892	0.31540	1.30695	3.54586
0.39200	0.38204	0.04830	0.06988	0.31927	1.31464	3.49920
0.39600	0.38573	0.04725	0.07083	0.32310	1.32199	3.45254
0.40000	0.38942	0.04618	0.07177	0.32689	1.32901	3.40589
0.40400	0.39310	0.04507	0.07270	0.33064	1.33569	3.35923
0.40800	0.39677	0.04392	0.07363	0.33436	1.34206	3.31258
0.41200	0.40044	0.04274	0.07454	0.33805	1.34811	3.26592
0.41600	0.40410	0.04153	0.07545	0.34170	1.35385	3.21926
0.42000	0.40776	0.04029	0.07636	0.34531	1.35929	3.17261
0.42400	0.41141	0.03902	0.07725	0.34889	1.36442	3.12595
0.42800	0.41505	0.03772	0.07813	0.35243	1.36925	3.07930
0.43200	0.41869	0.03638	0.07901	0.35593	1.37379	3.03264
0.43600	0.42232	0.03502	0.07988	0.35940	1.37804	2.98598
0.44000	0.42594	0.03362	0.08074	0.36283	1.38201	2.93933
0.44400	0.42956	0.03220	0.08160	0.36623	1.38568	2.89267
0.44800	0.43316	0.03075	0.08244	0.36959	1.38908	2.84602
0.45200	0.43677	0.02927	0.08328	0.37291	1.39219	2.79936
0.45600	0.44036	0.02776	0.08411	0.37620	1.39503	2.75270
0.46000	0.44395	0.02623	0.08493	0.37944	1.39759	2.70605
0.46400	0.44753	0.02467	0.08574	0.38265	1.39988	2.65939
0.46800	0.45110	0.02309	0.08654	0.38582	1.40190	2.61274
0.47200	0.45467	0.02147	0.08733	0.38894	1.40364	2.56608
0.47600	0.45823	0.01984	0.08812	0.39203	1.40512	2.51942
0.48000	0.46178	0.01818	0.08889	0.39508	1.40633	2.47277
0.48400	0.46532	0.01650	0.08966	0.39808	1.40728	2.42611
0.48800	0.46886	0.01479	0.09041	0.40105	1.40797	2.37946
0.49200	0.47239	0.01306	0.09116	0.40397	1.40839	2.33280
0.49600	0.47591	0.01131	0.09190	0.40684	1.40855	2.28614
0.50000	0.47943	0.00954	0.09262	0.40968	1.40846	2.23949
0.50400	0.48293	0.00774	0.09334	0.41247	1.40810	2.19283
0.50800	0.48643	0.00593	0.09405	0.41521	1.40749	2.14618
0.51200	0.48992	0.00409	0.09475	0.41791	1.40663	2.09952
0.51600	0.49340	0.00224	0.09544	0.42057	1.40551	2.05286
0.52000	0.49688	0.00037	0.09611	0.42317	1.40414	2.00621
0.52400	0.50035	-0.00153	0.09678	0.42574	1.40252	1.95955
0.52800	0.50381	-0.00344	0.09744	0.42825	1.40065	1.91290
0.53200	0.50726	-0.00536	0.09808	0.43071	1.39852	1.86624
0.53600	0.51070	-0.00731	0.09872	0.43313	1.39615	1.81958
0.54000	0.51414	-0.00927	0.09934	0.43550	1.39354	1.77293
0.54400	0.51756	-0.01124	0.09996	0.43781	1.39067	1.72627
